text,sentiment
This product is fantastic! Loved every bit of it.,Positive
Battery life is too short and the product feels cheap.,Negative
"Average performance. Not too bad, not too good.",Neutral
Highly recommend this to anyone. Worth the price!,Positive
Disappointed with the build quality and support.,Negative
Okayish experience. Might look for alternatives.,Neutral
Amazing sound quality and easy to use interface!,Positive
It stopped working after a week. Very bad quality.,Negative
"Decent features, but could be better for the price.",Positive
Super fast delivery and very helpful customer support!,Positive
